"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C3","1","4.7uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_Elec_3x5.4",""
"C4,C_filt1","2","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_Elec_3x5.4",""
"Cin1","1","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_Elec_3x5.4",""
"Cout1","1","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_Elec_3x5.4",""
"D1","1","SMAJ28A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"D3","1","BAT54S","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"J1","1","Screw_Terminal_01x02","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","Screw_Terminal_01x03","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_3-GF-5.08_1x03_P5.08mm_Horizontal_ThreadedFlange_MountHole",""
"J3","1","Conn_01x04","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_4-GF-5.08_1x04_P5.08mm_Horizontal_ThreadedFlange_MountHole",""
"L1","1","10uH","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_6.3x6.3_H3",""
"R1,R2","2","R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R3","1","100k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R4","1","18.7k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R5,R6","2","4.7k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"Rdiv1","1","20k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R_div_2","1","9.72k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"U1","1","TPS54202DDC","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54202.pdf"
"U2","1","TLV75533PDBV","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv755p.pdf"
"U3","1","ADS1115IDGS","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
