"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","","${EXCLUDE_FROM_POS_FILES}","Battery:BatteryHolder_Keystone_1042_1x18650",""
"D1","1","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"D2,D4","2","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D3.0mm",""
"D3","1","BZV55B2V7","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_Amphenol_124019772112A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1","1","NPN","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92L_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q2","1","PNP","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92L_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q4,Q5","2","Q_NMOS_DGS","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9","9","R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"U1","1","TP4056-42-ESOP8","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","DW01A","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF"
